date,inventory
10/21/17,18046
10/28/17,17857
11/4/17,17304
11/11/17,17030
11/18/17,16654
11/25/17,16424
12/2/17,15444
12/9/17,15310
12/16/17,14678
12/23/17,13784
12/30/17,13544
1/6/18,11861
1/13/18,12151
1/20/18,12810
1/27/18,13350
2/3/18,13725
2/10/18,14110
2/17/18,14701
2/24/18,14822
3/3/18,15070
3/10/18,15434
3/17/18,15017
3/24/18,16620
3/31/18,16184
4/7/18,15987
4/14/18,16758
4/21/18,17193
4/28/18,17846
5/5/18,17998
5/12/18,18632
5/19/18,18761
5/26/18,19179
6/2/18,19280
6/9/18,19295
6/16/18,20082
6/23/18,20328
6/30/18,20699
7/7/18,21056
7/14/18,20638
7/21/18,21491
7/28/18,21904
8/4/18,22710
8/11/18,22460
8/18/18,22526
8/25/18,22751
9/1/18,23007
9/8/18,22689
9/15/18,22650
9/22/18,23266
9/29/18,23546
10/6/18,23615
10/13/18,23871
10/20/18,23790
10/27/18,23989
11/3/18,23863
11/10/18,24008
11/17/18,23835
11/24/18,23697
12/1/18,22439
12/8/18,22552
12/15/18,21766
12/22/18,21088
12/29/18,19935
1/5/19,18367
1/12/19,18252
1/19/19,19283
1/26/19,19722
2/2/19,19686
2/9/19,20333
2/16/19,20014
2/23/19,20589
3/2/19,20532
3/9/19,20811
3/16/19,20881
3/23/19,21037
3/30/19,20971
4/6/19,21143
4/13/19,21632
4/20/19,21813
4/27/19,21620
5/4/19,22033
5/11/19,22646
5/18/19,22782
5/25/19,23097
6/1/19,22890
6/8/19,22787
6/15/19,23243
6/22/19,23293
6/29/19,23751
7/6/19,24018
7/13/19,23380
7/20/19,23845
7/27/19,24109
8/3/19,24103
8/10/19,23962
8/17/19,23625
8/24/19,23434
8/31/19,23248
9/7/19,22571
9/14/19,22449
9/21/19,22992
9/28/19,22921
10/5/19,22590
10/12/19,22444
10/19/19,22179
10/26/19,21897
11/2/19,21348
11/9/19,21057
11/16/19,20466
11/23/19,19862
11/30/19,19252
12/7/19,17612
12/14/19,17493
12/21/19,16634
12/28/19,15784
1/4/20,14135
1/11/20,13641
1/18/20,14228
1/25/20,14287
2/1/20,14863
2/8/20,14808
2/15/20,15117
2/22/20,15289
2/29/20,15276
3/7/20,15426
3/14/20,15669
3/21/20,15597
3/28/20,15401
4/4/20,14602
4/11/20,14630
4/18/20,14575
4/25/20,14883
5/2/20,14949
5/9/20,15059
5/16/20,16095
5/23/20,16562
5/30/20,16980
6/6/20,17045
6/13/20,17480
6/20/20,17489
6/27/20,17531
7/4/20,17324
7/11/20,17187
7/18/20,17241
7/25/20,17421
8/1/20,17463
8/8/20,17450
8/15/20,17328
8/22/20,17382
8/29/20,17323
9/5/20,17308
9/12/20,17615
9/19/20,17448
9/26/20,17634
10/3/20,17678
10/10/20,17069
10/17/20,17190
10/24/20,17497
10/31/20,17629
11/7/20,17583
11/14/20,16705
11/21/20,16426
11/28/20,16006
12/5/20,14906
12/12/20,14914
12/19/20,14332
12/26/20,13438
1/2/21,12161
