Country or Territory Name,Continent,ISOAlpha,ISO Numeric,Highest Admin Level Used,Number of Units,Population Year,Population Source Type,Population Estimate/Projection Type,Population Admin Level Used,Sex Variable  Year ,Sex Variable Type,Sex Variable Estimate/Projection Type,Sex Variable Admin Level Used,Age Variable Year,Age Variable Type,Age Variable Estimate/Projection Type,Age Variable Admin Level Used,Growth Rate Start Year,Growth Rate End Year,Growth Rate Level
Eritrea,Africa,ERI,232,1,6,2012,Population Estimate/Projection,WHO estimates,1,2010,Population Estimate/Projection,UN estimates,0,2010,Population Estimate/Projection,UN estimates,0,2001,2012,1
Western Sahara,Africa,ESH,732,3,31,2014,Final Census,not applicable,3,2014,Final Census,not applicable,3,2014,Final Census,not applicable,3,2004,2014,1;2
Spain,Europe,ESP,724,3,8020,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2001,2011,2
Estonia,Europe,EST,233,3,4689,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2000,2011,2
Ethiopia,Africa,ETH,231,3,734,2007,Final Census,not applicable,3,2007,Final Census,not applicable,3,2007,Final Census,not applicable,3,1994,2007,1
Finland,Europe,FIN,246,2,320,2011,Population Register,not applicable,2,2011,Population Register,not applicable,2,2011,Population Register,not applicable,2,2011,2012,2
Fiji,Oceania,FJI,242,3,1602,2007,Final Census,not applicable,3,2007,Final Census,not applicable,3,2007,Final Census,not applicable,3,1996,2007,1
Falkland Islands (Malvinas),Americas-South America,FLK,238,1,6,2012,Final Census,not applicable,1,2012,Final Census,not applicable,1,2012,Final Census,not applicable,1,2006,2012,1
France,Europe,FRA,250,5,36610,2009,Final Census,not applicable,4;5,2009,Final Census,not applicable,4;5,2009,Final Census,not applicable,4;5,1999,2009,4; 5
Faeroe Islands,Europe,FRO,234,3,117,2010,Population Register,not applicable,3,2010,Population Register,not applicable,3,2010,Population Register,not applicable,3,2000,2010,2; 3
Micronesia (Federated States of),Oceania,FSM,583,3,394,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,2,2000,2010,3
Gabon,Africa,GAB,266,2,48,2003,Final Census,not applicable,2,2010,Population Estimate/Projection,UN estimates,0,2010,Population Estimate/Projection,UN estimates,0,1993,2003,1
United Kingdom of Great Britain and Northern Ireland,Europe,GBR,826,6,232296,2011,Final Census,not applicable,6,2011,Final Census,not applicable,6,2011,Final Census,not applicable,6,2001,2011,2; 3
Georgia,Asia,GEO,268,2,76,2014,Final Census,not applicable,2,2014,Final Census,not applicable,2,2014,Final Census,not applicable,0,2002,2014,2
Guernsey,Europe,GGY,831,1,15,2010; 2013; 2014,Final Census; Population Estimate/Projection; Population Register,not applicable,1,2013; 2014,Final Census and Population Register,not applicable,1,2013; 2014,Final Census and Population Register,not applicable,1,2007,2014,0
Ghana,Africa,GHA,288,2,170,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,1,2000,2010,2
Gibraltar,Europe,GIB,292,0,1,2012,Final Census,not applicable,0,2012,Final Census,not applicable,0,2012,Final Census,not applicable,0,2001,2012,0
Guinea,Africa,GIN,324,3,340,2014,Final Census,not applicable,3,2014,Final Census,not applicable,3,2014,Final Census,not applicable,0,1996,2014,3
Guadeloupe,Americas-North America,GLP,312,2,32,2009,Population Register,not applicable,2,2009,Population Register,not applicable,2,2009,Population Register,not applicable,2,1999,2009,2
Gambia,Africa,GMB,270,2,40,2013,Preliminary/Provisional Census,not applicable,2,2013,Preliminary/Provisional Census,not applicable,2,2010,Population Estimate/Projection,UN estimates,0,2003,2013,2
Guinea-Bissau,Africa,GNB,624,2,39,2009,Final Census,not applicable,2,2009,Final Census,not applicable,2,2009,Final Census,not applicable,1,1991,2009,2
Equatorial Guinea,Africa,GNQ,226,2,7,2015,Preliminary/Provisional Census,not applicable,2,2015,Preliminary/Provisional Census,not applicable,2,2010,Population Estimate/Projection,UN estimates,0,2001,2015,2
Greece,Europe,GRC,300,5,6130,2011,Final Census,not applicable,5,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2001,2011,1
Grenada,Americas-North America,GRD,308,1,7,2011,Preliminary/Provisional Census,not applicable,1,2010,Population Estimate/Projection,UN estimates,0,2010,Population Estimate/Projection,UN estimates,0,2001,2011,1
Greenland,Americas-North America,GRL,304,3,100,2010,Population Register,not applicable,3,2010,Population Register,not applicable,3,2010,Population Register,not applicable,3,2000,2010,3
Guatemala,Americas-North America,GTM,320,2,354,2010,Population Estimate/Projection,Official Projection from National Statistics Office,2,2010,Population Estimate/Projection,Official Projection from National Statistics Office,2,2010,Population Estimate/Projection,Official Projection from National Statistics Office,0,2010,2015,2
French Guiana,Americas-South America,GUF,254,2,22,2009,Population Register,not applicable,2,2009,Population Register,not applicable,2,2009,Population Register,not applicable,2,1999,2009,2
Guam,Oceania,GUM,316,3,218,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2000,2010,1
Guyana,Americas-South America,GUY,328,2,117,2002,Final Census,not applicable,2,2012,Final Census,not applicable,1,2012,Final Census,not applicable,1,2002,2012,1
China Hong Kong Special Administrative Region,Asia,HKG,344,3,412,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2006,2011,2
Honduras,Americas-North America,HND,340,3,3050,2013,Final Census,not applicable,3,2013,Final Census,not applicable,3,2013,Final Census,not applicable,3,2001,2013,2
Croatia,Europe,HRV,191,2,556,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2001,2011,2
Haiti,Americas-North America,HTI,332,4,560,2003,Final Census,not applicable,4,2003,Final Census,not applicable,4,2003,Final Census,not applicable,0,2003,2009,4
Hungary,Europe,HUN,348,4,3177,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2010,2011,3
Indonesia,Asia,IDN,360,3,498,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2000; 2005,2010,3
Isle of Man,Europe,IMN,833,1,24,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2006,2011,1
India,Asia,IND,356,3,5967,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,2,2001,2011,2
Ireland,Europe,IRL,372,4,18488,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2006,2011,3
Iran (Islamic Republic of),Asia,IRN,364,2,397,2011,Final Census,not applicable,2,2011,Final Census,not applicable,1,2011,Final Census,not applicable,0,2006,2011,1; 2
Iraq,Asia,IRQ,368,2,99,2003; 2011,Population Estimate/Projection,Projections (Geohive projections based on census 1997),2,2010,Population Estimate/Projection,UN estimates,0,2010,Population Estimate/Projection,UN estimates,0,1997,2011,1
Iceland,Europe,ISL,352,2,74,2010,Population Register,not applicable,2,2010,Population Register,not applicable,2,2010,Population Register,not applicable,2,2000,2010,2
Israel,Asia,ISR,376,3,51,2008,Final Census,not applicable,3,2008,Final Census,not applicable,3,2008,Final Census,not applicable,3,2001,2008,2
Italy,Europe,ITA,380,4,399014,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2001,2011,3
Jamaica,Americas-North America,JAM,388,1,14,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2001,2011,1
Jersey,Europe,JEY,832,1,12,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2001,2011,1
Jordan,Asia,JOR,400,3,89,2004,Final Census,not applicable,3,2004,Final Census,not applicable,3,2004,Final Census,not applicable,1,1994,2004,1
Japan,Asia,JPN,392,2,1751,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2005,2010,1
Kazakhstan,Asia,KAZ,398,2,172,2009,Final Census,not applicable,2,2009,Final Census,not applicable,1;2,2009,Final Census ,not applicable,1;2,1999,2009,2
Kenya,Africa,KEN,404,5,7150,2009,Final Census,not applicable,5,2009,Final Census,not applicable,5,2009,Final Census,not applicable,2,1999,2009,1
Kyrgyzstan,Asia,KGZ,417,2,54,2009,Final Census,not applicable,2,2009,Final Census,not applicable,2,2009,Final Census,not applicable,2,1999,2009,1
Cambodia,Asia,KHM,116,3,1621,2008,Final Census,not applicable,3,2008,Final Census,not applicable,3,2008,Final Census,not applicable,3,1998,2008,3
Kiribati,Oceania,KIR,296,3,266,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,0,2005,2010,1
Saint Kitts and Nevis,Americas-North America,KNA,659,2,14,2001,Final Census,not applicable,2,2001,Final Census,not applicable,2,2001,Final Census,not applicable,2,1991,2001,2
Republic of Korea,Asia,KOR,410,2,251,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2000,2010,2
Kosovo,Europe,KOS,999 - not UN defined,1,37,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,2012,1
Kuwait,Asia,KWT,414,1,6,2005,Final Census,not applicable,1,2005,Final Census,not applicable,1,2005,Final Census,not applicable,1,1995,2005,1
Lao People's Democratic Republic,Asia,LAO,418,3,10022,2005,Final Census,not applicable,3,2005,Final Census,not applicable,3,2005,Final Census,not applicable,3,1995,2005,2
Lebanon,Asia,LBN,422,3,1643,2002,Population Estimate/Projection,OCHA estimates,3,2010,Population Estimate/Projection,UN estimates,0,2010,Population Estimate/Projection,UN estimates,0,1996,2002,2
Liberia,Africa,LBR,430,2,136,2008,Final Census,not applicable,2,2008,Final Census,not applicable,2,2008,Final Census,not applicable,1,1984,2008,1
Libya,Africa,LBY,434,1,22,2006,Final Census,not applicable,1,2006,Final Census,not applicable,0,2006,Final Census,not applicable,0,1995,2006,0
Saint Lucia,Americas-North America,LCA,662,1,13,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2001,2010,1
Liechtenstein,Europe,LIE,438,1,11,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2010,2013,1
Sri Lanka,Asia,LKA,144,4,13938,2012,Final Census ,not applicable,4,2012,Final Census ,not applicable,4,2012,Final Census ,not applicable,4,2001; 2006; 2007,2012,3
Lesotho,Africa,LSO,426,2,80,2006,Final Census,not applicable,2,2006,Final Census,not applicable,2,2006,Final Census,not applicable,2,1996,2006,1
Lithuania,Europe,LTU,440,2,60,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2001,2011,2
Luxembourg,Europe,LUX,442,4,139,2011,Final Census,not applicable,4,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2001,2011,3; 4
Latvia,Europe,LVA,428,2,119,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,2013,2
China Macao Special Administrative Region,Asia,MAC,446,3,22,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2006,2011,3
Saint-Martin (French part),Americas-North America,MAF,663,0,1,2009,Population Register,not applicable,0,2009,Population Register,not applicable,0,2009,Population Register,not applicable,0,1999,2009,0
Morocco,Africa,MAR,504,3,1657,2014,Final Census,not applicable,3,2014,Final Census,not applicable,3,2014,Final Census,not applicable,3,2004,2014,1;2
Monaco,Europe,MCO,492,2,10,2008,Population Estimate/Projection,NSO estimates from the 2008 census to account for underenumeration,2,2008,Population Estimate/Projection,NSO estimates from the 2008 census to account for underenumeration,2,2008,Population Estimate/Projection,NSO estimates from the 2008 census to account for underenumeration,0,2000,2008,2
Republic of Moldova,Europe,MDA,498,1,42,2004,Final Census,not applicable,1,2004,Final Census,not applicable,1,2004,Final Census,not applicable,1,1989,2004,1
Madagascar,Africa,MDG,450,4,1242,2010,Population Estimate/Projection,CIESIN projection of 1993 census,4,2010,Population Estimate/Projection,UN estimates,0,2010,Population Estimate/Projection,UN estimates,0,2003,2010,3
Maldives,Asia,MDV,462,2,252,2006,Final Census,not applicable,2,2006,Final Census,not applicable,2,2006,Final Census,not applicable,2,2000,2006,1; 2
Mexico,Americas-North America,MEX,484,3,73613,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2005,2010,2
Marshall Islands,Oceania,MHL,584,1,34,2011,Final Census,not applicable,1,2010,Population Estimate/Projection,UN estimates,0,2010,Population Estimate/Projection,UN estimates,0,1999,2011,1
The former Yugoslav Republic of Macedonia,Europe,MKD,807,2,78,2010,Population Estimate/Projection,Official Projection from National Statistics Office,2,2010,Population Estimate/Projection,Official Projection from National Statistics Office,2,2010,Population Estimate/Projection,Official Projection from National Statistics Office,2,2002,2010,2
Mali,Africa,MLI,466,4,765,2009,Final Census,not applicable,4,2009,Final Census,not applicable,4,2009,Final Census,not applicable,1,1998,2009,3
Malta,Europe,MLT,470,2,68,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2005,2011,2
Myanmar,Asia,MMR,104,3,413,2014,Final Census,not applicable,3,2014,Final Census,not applicable,3,2014,Final Census,not applicable,2,2002,2014,1
Montenegro,Europe,MNE,499,1,21,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2003,2011,1
Mongolia,Asia,MNG,496,2,338,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,1,2000,2010,1
Northern Mariana Islands,Oceania,MNP,580,2,134,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2000,2010,1
Mozambique,Africa,MOZ,508,3,413,2007,Final Census,not applicable,3,2007,Final Census,not applicable,3,2007,Final Census,not applicable,3,1997,2007,2; 3
Mauritania,Africa,MRT,478,3,218,2013,Final Census,not applicable,3,2013,Final Census,not applicable,3,2013,Final Census,not applicable,0,2000,2013,2; 3
Montserrat,Americas-North America,MSR,500,2,23,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2001,2011,0
Martinique,Americas-North America,MTQ,474,2,34,2009,Population Register,not applicable,2,2009,Population Register,not applicable,2,2009,Population Register,not applicable,2,1999,2009,2
Mauritius,Africa,MUS,480,3,170,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2000,2011,1; 2
Malawi,Africa,MWI,454,3,12641,2008,Final Census,not applicable,3,2008,Final Census,not applicable,3,2008,Final Census,not applicable,3,1998,2008,1; 2
Malaysia,Asia,MYS,458,3,932,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2000,2010,1; 2
Mayotte,Africa,MYT,175,1,17,2012,Final Census,not applicable,1,2012,Final Census,not applicable,1,2012,Final Census,not applicable,1,2002,2012,1
Namibia,Africa,NAM,516,3,5475,2011,Final Census,not applicable,3,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2001,2011,2
New Caledonia,Oceania,NCL,540,3,34,2009,Final Census,not applicable,3,2009,Final Census,not applicable,3,2009,Final Census,not applicable,3,2004,2009,3
Niger,Africa,NER,562,2,66,2012,Final Census,not applicable,2,2012,Final Census,not applicable,2,2012,Final Census,not applicable,2,2001,2012,2
Norfolk Island,Oceania,NFK,574,1,2,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2001,2011,1
Nigeria,Africa,NGA,566,2,774,2006,Final Census,not applicable,2,2006,Final Census,not applicable,2,2006,Final Census,not applicable,2,1991,2006,1
Nicaragua,Americas-North America,NIC,558,2,153,2005,Final Census,not applicable,2,2005,Final Census,not applicable,2,2005,Final Census,not applicable,2,1995,2005,2
Niue,Oceania,NIU,570,1,13,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,0,2006,2011,1
Netherlands,Europe,NLD,528,2,418,2011,Population Register,not applicable,2,2011,Population Register,not applicable,2,2011,Population Register,not applicable,2,2001,2011,2
Norway,Europe,NOR,578,2,430,2011,Population Register,not applicable,2,2011,Population Register,not applicable,2,2011,Population Register,Official Projection from National Statistics Office,2,2001,2011,2
Nepal,Asia,NPL,524,4,3990,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2001,2011,3
Nauru,Oceania,NRU,520,1,14,2011,Final Census,not applicable,1,2011,Final Census,not applicable,0,2011,Final Census,not applicable,0,2002,2011,1
New Zealand,Oceania,NZL,554,3,46085,2013,Final Census,not applicable,3,2013,Final Census,not applicable,3,2013,Final Census,not applicable,1,2006,2013,1
Oman,Asia,OMN,512,2,61,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2014,Final Census,not applicable,2,2003,2010,1; 2
Pakistan,Asia,PAK,586,3,396,2010,Population Estimate/Projection,Demobase,3,2010,Population Estimate/Projection,Demobase,3,2010,Population Estimate/Projection,Demobase,3,1998,2010,3
Panama,Americas-North America,PAN,591,3,625,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2000,2010,1
Pitcairn,Oceania,PCN,612,0,1,2008,Final Census,not applicable,0,2008,Final Census,not applicable,0,2008,Final Census,not applicable,0,2000,2008,0
Peru,Americas-South America,PER,604,3,1832,2007,Final Census,not applicable,3,2007,Final Census,not applicable,3,2007,Final Census,not applicable,3,1993,2007,3
Philippines,Asia,PHL,608,3,41954,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2007,2010,1; 2
