Country or Territory Name,Continent,ISOAlpha,ISO Numeric,Highest Admin Level Used,Number of Units,Population Year,Population Source Type,Population Estimate/Projection Type,Population Admin Level Used,Sex Variable  Year ,Sex Variable Type,Sex Variable Estimate/Projection Type,Sex Variable Admin Level Used,Age Variable Year,Age Variable Type,Age Variable Estimate/Projection Type,Age Variable Admin Level Used,Growth Rate Start Year,Growth Rate End Year,Growth Rate Level
Aruba,Americas-North America,ABW,533,2,55,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2000,2010,2
Afghanistan,Asia,AFG,4,2,401,2011,Population Estimate/Projection,UN Urban and Rural Population by Age and Sex (URPAS) 2010 estimates,2,2011,Population Estimate/Projection,Official Projection from National Statistics Office,2,2010,Population Estimate/Projection,UN estimates,0,1998,2011,1
Angola,Africa,AGO,24,2,161,2014,Preliminary/Provisional Census,not applicable,2,2014,Final Census,not applicable,2,2014,Final Census,not applicable,0,2006,2014,1
Anguilla,Americas-North America,AIA,660,0,1,2011,Preliminary/Provisional Census,not applicable,0,2011,Preliminary/Provisional Census,not applicable,0,2011,Preliminary/Provisional Census,not applicable,0,2001,2011,0
Åland Islands,Europe,ALA,248,1,16,2010,Population Register,not applicable,1,2010,Population Register,not applicable,1,2010,Population Register,not applicable,1,2000,2010,1
Albania,Europe,ALB,8,3,373,2011,Final Census,not applicable,3,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2001,2011,3
Andorra,Europe,AND,20,1,7,2010,Population Register,not applicable,1,2010,Population Register,not applicable,1,2010,Population Register,not applicable,1,2000,2010,1
United Arab Emirates,Asia,ARE,784,1,7,2005,Final Census,not applicable,1,2005,Final Census,not applicable,1,2005,Final Census,not applicable,0,1995,2005,1
Argentina,Americas-South America,ARG,32,2,525,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2001,2010,2
Armenia,Asia,ARM,51,3,935,2011,Final Census,not applicable,2;3,2011,Final Census,not applicable,2;3,2011,Final Census,not applicable,1;2,2001,2011,2
American Samoa,Oceania,ASM,16,3,77,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2000,2010,3
Antigua and Barbuda,Americas-North America,ATG,28,1,9,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2001,2011,1
Australia,Oceania,AUS,36,5,54765,2011,Final Census,not applicable,5,2011,Final Census,not applicable,5,2011,Final Census,not applicable,5,2001,2011,4
Austria,Europe,AUT,40,4,2357,2012,Population Register,not applicable,4,2012,Population Register,not applicable,4,2012,Population Register,not applicable,4,2001,2012,4
Azerbaijan,Asia,AZE,31,1,84,2009,Final Census,not applicable,1,2009,Final Census,not applicable,1,2009,Final Census,not applicable,1,1999,2009,1
Burundi,Africa,BDI,108,2,129,2008,Final Census,not applicable,2,2008,Final Census,not applicable,2,2008,Final Census,not applicable,2,1999,2008,1; 2
Belgium,Europe,BEL,56,4,589,2014,Population Register,not applicable,4,2014,Population Register,not applicable,4,2014,Population Register,not applicable,4,2002,2014,4
Benin,Africa,BEN,204,2,77,2013,Final Census,not applicable,2,2013,Final Census,not applicable,2,2013,Final Census,not applicable,2,2002,2013,2
Bonaire Saint Eustatius and Saba,Americas-North America,BES,535,1,3,2010,Population Register,not applicable,1,2010,Population Register,not applicable,1,2010,Population Register,not applicable,1,2001,2010,1
Burkina Faso,Africa,BFA,854,3,351,2006,Final Census,not applicable,3,2006,Final Census,not applicable,3,2006,Final Census,not applicable,1,1996,2006,3
Bangladesh,Asia,BGD,50,3,544,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2001,2011,2
Bulgaria,Europe,BGR,100,2,264,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2001,2011,1
Bahrain,Asia,BHR,48,1,5,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2010,Final Census,not applicable,0,2001,2010,1
Bahamas,Americas-North America,BHS,44,1,19,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2000,2010,1
Bosnia and Herzegovina,Europe,BIH,70,3,142,2013,Final Census,not applicable,3,2013,Final Census,not applicable,3,2013,Final Census,not applicable,3,2003,2013,1
Saint-Barthelemy,Americas-North America,BLM,652,0,1,2009,Population Register,not applicable,0,2009,Population Register,not applicable,0,2009,Population Register,not applicable,0,1999,2009,0
Belarus,Europe,BLR,112,2,129,2009,Final Census,not applicable,2,2009,Final Census,not applicable,2,2009,Final Census,not applicable,1,1999,2009,2
Belize,Americas-North America,BLZ,84,1,6,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2000,2010,1
Bermuda,Americas-North America,BMU,60,1,9,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2000,2010,1
Bolivia (Plurinational State of),Americas-South America,BOL,68,3,339,2012,Final Census,not applicable,3,2012,Final Census,not applicable,3,2012,Final Census,not applicable,3,2001,2012,3
Brazil,Americas-South America,BRA,76,5,316461,2010,Final Census,not applicable,5,2010,Final Census,not applicable,5,2010,Final Census,not applicable,5,2000,2010,2
Barbados,Americas-North America,BRB,52,1,11,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2000,2010,1
Brunei Darussalam,Asia,BRN,96,2,39,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2001,2011,1
Bhutan,Asia,BTN,64,2,205,2005,Final Census,not applicable,2,2005,Final Census,not applicable,2,2005,Final Census,not applicable,2,2005,2010,1
Botswana,Africa,BWA,72,2,29,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,0,2001,2011,2
Central African Republic,Africa,CAF,140,3,174,2012,Population Estimate/Projection,OCHA estimates,3,2010,Population Estimate/Projection,UN estimates,0,2010,Population Estimate/Projection,UN estimates,0,2003,2010,1
Canada,Americas-North America,CAN,124,5,493185,2011,Final Census,not applicable,5,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2006,2011,2
Switzerland,Europe,CHE,756,3,2538,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2001,2010,3
Chile,Americas-South America,CHL,152,3,345,2010,Population Estimate/Projection,Official Projection from National Statistics Office,3,2010,Population Estimate/Projection,Official Projection from National Statistics Office,3,2010,Population Estimate/Projection,Official Projection from National Statistics Office,3,2002,2010,3
China,Asia,CHN,156,4,43878,2010,Final Census,not applicable,4,2010,Final Census,not applicable,4,2010,Final Census,not applicable,3,2000,2010,2
Côte d'Ivoire,Africa,CIV,384,4,518,2014,Final Census,not applicable,4,2014,Final Census,not applicable,4,2010,Population Estimate/Projection,UN estimates,0,1998,2014,3
Cameroon,Africa,CMR,120,2,58,2005,Final Census,not applicable,2,2005,Final Census,not applicable,2,2005,Final Census,not applicable,2,1987,2005,2
Democratic Republic of the Congo,Africa,COD,180,3,188,2008,Population Estimate/Projection,OCHA estimates (based on 1984 census),3,2010,Population Estimate/Projection,UN estimates,0,2010,Population Estimate/Projection,UN estimates,0,1998,2008,1
Congo,Africa,COG,178,1,12,2007,Final Census,not applicable,1,2007,Final Census,not applicable,1,2007,Final Census,not applicable,1,2007,2010,1
Cook Islands,Oceania,COK,184,3,26,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2001,2011,1; 2; 3
Colombia,Americas-South America,COL,170,2,1120,2005,Final Census,not applicable,2,2005,Population Estimate/Projection,not applicable,1,2005,Population Estimate/Projection,not applicable,1,1993,2005,1; 2
Comoros,Africa,COM,174,1,3,2013,Population Estimate/Projection,Official Projection from National Statistics Office,1,2013,Population Estimate/Projection,Official Projection from National Statistics Office,1,2013,Population Estimate/Projection,Official Projection from National Statistics Office,1,2003,2013,1
Cape Verde,Africa,CPV,132,2,23,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2000,2010,2
Costa Rica,Americas-North America,CRI,188,3,473,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2000,2011,3
Cuba,Americas-North America,CUB,192,2,168,2012,Final Census,not applicable,2,2012,Final Census,not applicable,2,2012,Final Census,not applicable,1,2002,2012,2
Curaçao,Americas-North America,CUW,531,1,66,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,0,2001,2011,0; 1
Cayman Islands,Americas-North America,CYM,136,1,6,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,1999,2010,1
Cyprus,Asia,CYP,196,2,418,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2001,2011,1;2
Czech Republic,Europe,CZE,203,3,6251,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2001,2011,3
Germany,Europe,DEU,276,3,11556,2011,Population Register,not applicable,3,2011,Population Register,not applicable,3,2011,Population Register,not applicable,2,2002,2011,2
Djibouti,Africa,DJI,262,1,6,2009,Final Census,not applicable,1,2009,Final Census,not applicable,0,2009,Final Census,not applicable,0,1998,2009,1
Dominica,Americas-North America,DMA,212,1,10,2011,Preliminary/Provisional Census,not applicable,1,2011,Preliminary/Provisional Census,not applicable,1,2006,Population Estimate/Projection,UN estimates,0,2001,2011,1
Denmark,Europe,DNK,208,3,2138,2010,Population Register,not applicable,3,2010,Population Register,not applicable,3,2010,Population Register,not applicable,3,2007,2010,3
Dominican Republic,Americas-North America,DOM,214,4,386,2010,Final Census,not applicable,4,2010,Final Census,not applicable,4,2010,Final Census,not applicable,4,2002,2010,2; 3; 4
Algeria,Africa,DZA,12,2,1540,2008,Final Census,not applicable,2,2008,Final Census,not applicable,2,2008,Final Census,not applicable,2,1998,2008,2
Ecuador,Americas-South America,ECU,218,3,1024,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2001,2010,1
Egypt,Africa,EGY,818,2,379,2006,Final Census,not applicable,2,2006,Final Census,not applicable,2,2006,Final Census,not applicable,2,2006,2012,1
