CountryCode,TotalCount,Count_2010,Count_2011,Count_2012,Count_2013,Count_2014,Count_2015,Count_2016,Count_2017,Count_2018,YearsOfCoverage
AFG,6977,0,0,1365,0,0,0,0,6977,6727,"2012, 2017, 2018"
ANT,3,0,0,0,0,0,0,0,3,0,2017
BDI,4,0,0,0,0,0,0,0,0,4,2018
BOL,6,0,0,0,0,0,0,0,0,6,2018
CHD,421,0,0,0,0,0,0,0,146,302,"2017, 2018"
CMR,3336,0,0,0,0,0,324,38,2215,759,"2015, 2016, 2017, 2018"
DMI,158,0,0,0,0,0,0,0,132,26,"2017, 2018"
DRC,40,0,0,27,0,0,0,27,29,12,"2012, 2016, 2017, 2018"
ECU,741,0,0,0,0,0,0,729,12,0,"2016, 2017"
ETH,1994,0,0,788,0,0,0,0,788,1208,"2012, 2017, 2018"
FIJ,412,0,0,0,0,0,0,412,0,0,2016
GUA,17,0,0,0,0,0,0,0,0,17,2018
HAI,2252,1195,1944,2084,578,243,66,7,102,27,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018"
INS,416,0,0,0,0,0,0,155,261,0,"2016, 2017"
IRQ,16332,0,0,5438,0,2270,4808,7089,8844,7414,"2012, 2014, 2015, 2016, 2017, 2018"
KEN,53,0,0,0,0,0,53,0,0,0,2015
LBY,1348,0,0,100,0,0,0,528,398,900,"2012, 2016, 2017, 2018"
LKA,30,0,0,0,0,0,0,0,30,0,2017
MDG,10,0,0,0,0,0,0,0,10,0,2017
MOZ,78,0,0,0,0,0,78,0,0,0,2015
MWI,316,0,0,200,0,0,316,0,0,0,"2012, 2015"
NGA,6573,0,0,0,0,0,0,282,6065,2719,"2016, 2017, 2018"
NPL,575,0,0,0,0,0,517,153,18,0,"2015, 2016, 2017"
SOM,309,0,180,0,0,0,0,295,0,0,"2011, 2016"
SSD,41,0,0,0,0,0,0,41,41,0,"2016, 2017"
YEM,18232,0,0,13390,0,0,0,8066,14835,3849,"2012, 2016, 2017, 2018"
